time,cookie_def,necessary_option,necessary_response,necessary_likert,targeting_option,targeting_response,targeting_likert,functional_option,functional_response,functional_likert,performance_option,performance_response,performance_likert,new_term_option,new_term_response,age,gender,edu,tech
72,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,I don't know,Neutral,targeting,I don't know,Neutral,preference,,Neutral,traffic,I don't know,Neutral,functional,secure,18-25,Woman,High school graduate,No
91,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed to help personalize site services.,Likely,traffic,Cookies needed to measure and improve site features.,Neutral,advertising,Advertising,26-35,Man,High school graduate,No
129,An extension for the website that adds extra features to the website.,basic functionality,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Likely,functional,Cookies needed for the site to run.,Very likely,statistics,I don't know,Neutral,advertising,non targeted cookie,36-45,Woman,2 year degree,No
51,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies needed to make ads appear.,Very unlikely,preference,Cookies needed to help personalize site services.,Neutral,traffic,Cookies needed to make the site faster.,Neutral,functional,customized,36-45,Woman,Professional degree,No
155,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to personalize user experience.,Neutral,targeting,Cookies needed to collect user location.,Neutral,functional,I don't know,Neutral,traffic,I don't know,Neutral,advertising,Bad,36-45,Man,4 year degree,No
269,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,I don't know,Neutral,preference,Cookies needed to help personalize site services.,Neutral,performance,I don't know,Neutral,performance,invasive,46-55,Man,Some college,No
82,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Neutral,traffic,Cookies needed to measure and improve site features.,Likely,necessary,necessary ,26-35,Woman,4 year degree,No
121,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Neutral,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Likely,traffic,I don't know,Neutral,necessary,preferences,46-55,Man,4 year degree,Yes
78,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,I don't know,Neutral,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Very unlikely,statistics,Cookies needed to measure and improve site features.,Unlikely,functional,Personalization Cookies,26-35,Man,Some college,Yes
152,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Likely,performance,Cookies needed to measure and improve site features.,Likely,necessary,functional ,46-55,Man,4 year degree,No
199,A token stored in a user’s browser that keeps track of their network traffic.,basic functionality,Cookies needed to personalize user experience.,Likely,advertising,Cookies needed to collect user location.,Neutral,functional,Cookies needed to access premium site content.,Likely,traffic,Cookies that are given higher priority over other site cookies.,Likely,necessary,permanent cookies,46-55,Woman,Professional degree,No
119,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Likely,statistics,I don't know,Very unlikely,performance,Statistic cookies,56-65,Man,Professional degree,No
148,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,I don't know,Likely,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Likely,traffic,Cookies needed to measure and improve site features.,Likely,advertising,Personalization ,18-25,Woman,Some college,No
87,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Likely,functional,Cookies needed for the site to run.,Likely,traffic,Cookies needed to make the site faster.,Likely,functional,Functionality,26-35,Woman,4 year degree,No
120,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed for the site to run.,Very likely,performance,Cookies needed to make the site faster.,Likely,advertising,Advertisting Cookies,26-35,Woman,4 year degree,No
108,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies needed to make ads appear.,Neutral,functional,Cookies needed for the site to run.,Likely,performance,Cookies needed to measure and improve site features.,Likely,necessary,Needed,36-45,Man,4 year degree,No
78,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed to help personalize site services.,Likely,performance,I don't know,Likely,advertising,targeting,36-45,Man,Doctorate,No
129,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,I don't know,Neutral,functional,I don't know,Neutral,performance,Cookies needed to measure and improve site features.,Very likely,advertising,advertising cookies ,46-55,Woman,4 year degree,No
171,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Neutral,targeting,Cookies used to personalize user ad experience.,Neutral,functional,I don't know,Neutral,statistics,I don't know,Neutral,functional,No idea ,56-65,Woman,2 year degree,No
310,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Unlikely,targeting,I don't know,Unlikely,functional,I don't know,Unlikely,statistics,I don't know,Unlikely,advertising,Personal ,26-35,Man,4 year degree,No
148,A token stored in a user’s browser that keeps track of their network traffic.,basic functionality,Cookies needed to personalize user experience.,Very likely,advertising,Cookies used to personalize user ad experience.,Very likely,functional,Cookies needed to help personalize site services.,Very likely,traffic,I don't know,Very likely,advertising,Personalized,26-35,Non-binary,Some college,No
107,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Very likely,performance,Cookies needed to make the site faster.,Very likely,performance,Performance,26-35,Man,4 year degree,No
103,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,I don't know,Likely,targeting,I don't know,Likely,functional,I don't know,Likely,statistics,I don't know,Likely,functional,functional,26-35,Woman,Professional degree,No
192,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,I don't know,Neutral,targeting,I don't know,Neutral,functional,I don't know,Neutral,traffic,I don't know,Neutral,functional,Ad,36-45,Woman,4 year degree,No
156,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed for the site to run.,Very likely,statistics,Cookies needed to measure and improve site features.,Unlikely,performance,hit cookie,18-25,Man,4 year degree,No
387,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Neutral,targeting,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Likely,performance,I don't know,Likely,advertising,Targeting,26-35,Man,2 year degree,Yes
88,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Neutral,targeting,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed for the site to run.,Neutral,traffic,I don't know,Unlikely,performance,performance,26-35,Man,High school graduate,No
94,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to measure and improve site features.,Neutral,necessary,functionality,26-35,Woman,4 year degree,Prefer not to answer
174,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed for the site to run.,Likely,performance,Cookies needed to measure and improve site features.,Neutral,necessary,Critical functionality entity,56-65,Woman,4 year degree,Yes
180,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,I don't know,Unlikely,targeting,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed for the site to run.,Likely,statistics,Cookies needed to measure and improve site features.,Very unlikely,functional,Basic functionality ,26-35,Woman,4 year degree,No
88,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,I don't know,Neutral,targeting,I don't know,Neutral,preference,,Neutral,traffic,I don't know,Neutral,functional,Personal,56-65,Woman,Professional degree,No
218,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to personalize user experience.,Unlikely,advertising,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed for the site to run.,Unlikely,statistics,Cookies needed to measure and improve site features.,Likely,advertising,advertisement ,18-25,Woman,4 year degree,No
204,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,I don't know,Unlikely,advertising,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed to help personalize site services.,Neutral,traffic,I don't know,Neutral,necessary,necessary,18-25,Woman,4 year degree,No
69,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies needed to make ads appear.,Neutral,preference,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Likely,advertising,Advertising ,18-25,Woman,Some college,No
155,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Likely,traffic,Cookies needed to measure and improve site features.,Likely,performance,Traffic cookies,56-65,Man,4 year degree,Yes
82,An extension for the website that adds extra features to the website.,strictly necessary,Cookies needed for the site to run.,Likely,advertising,I don't know,Very unlikely,preference,Cookies needed to help personalize site services.,Very unlikely,performance,Cookies needed to make the site faster.,Neutral,functional,targeted cookies,36-45,Woman,4 year degree,No
104,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Neutral,advertising,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed to help personalize site services.,Neutral,traffic,Cookies needed to make the site faster.,Neutral,advertising,advertisement,18-25,Man,4 year degree,No
149,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed for the site to run.,Likely,performance,Cookies needed to measure and improve site features.,Neutral,necessary,necessary,18-25,Man,Some college,No
239,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,I don't know,Neutral,targeting,I don't know,Neutral,functional,I don't know,Neutral,traffic,I don't know,Neutral,functional,Functional cookies,26-35,Man,High school graduate,No
61,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Neutral,preference,,Neutral,performance,I don't know,Neutral,functional,advertising,36-45,Woman,Professional degree,No
148,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Likely,advertising,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to make the site faster.,Likely,advertising,Advertising ,46-55,Woman,2 year degree,No
124,A token stored in a user’s browser that keeps track of their network traffic.,basic functionality,Cookies needed to personalize user experience.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Likely,traffic,I don't know,Neutral,necessary,Necessary,46-55,Woman,Some college,No
111,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,Cookies needed to collect user location.,Neutral,preference,Cookies needed to help personalize site services.,Neutral,performance,Cookies needed to measure and improve site features.,Neutral,performance,performance,46-55,Man,4 year degree,No
101,A token stored in a user’s browser that keeps track of their network traffic.,strictly necessary,I don't know,Very unlikely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Very unlikely,statistics,I don't know,Very unlikely,performance,Tracking,56-65,Woman,Some college,No
88,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,I don't know,Neutral,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Likely,performance,I don't know,Neutral,advertising,advertising,46-55,Man,Some college,No
175,A token stored in a user’s browser that keeps track of their network traffic.,strictly necessary,Cookies needed to personalize user experience.,Likely,advertising,Cookies used to personalize user ad experience.,Likely,preference,,Neutral,performance,I don't know,Neutral,performance,performance ,18-25,Woman,4 year degree,No
92,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Likely,performance,I don't know,Likely,necessary,necessary,36-45,Woman,4 year degree,No
67,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Neutral,advertising,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed for the site to run.,Neutral,performance,Cookies needed to make the site faster.,Neutral,performance,Performance cookie,18-25,Man,4 year degree,No
175,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to personalize user experience.,Likely,advertising,Cookies needed to collect user location.,Neutral,functional,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to measure and improve site features.,Neutral,functional,Personalized,36-45,Woman,4 year degree,No
96,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,I don't know,Neutral,preference,Cookies needed to help personalize site services.,Unlikely,statistics,Cookies needed to measure and improve site features.,Unlikely,necessary,necessary,26-35,Woman,Professional degree,No
187,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to store the user's browsing history.,Very likely,advertising,Cookies needed to collect user location.,Very likely,functional,Cookies needed to access premium site content.,Very likely,traffic,Cookies that are given higher priority over other site cookies.,Very likely,functional,personal,36-45,Woman,Some college,No
129,A token stored in a user’s browser that keeps track of their network traffic.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed to help personalize site services.,Neutral,statistics,Cookies needed to measure and improve site features.,Neutral,performance,Traffic,26-35,Man,Some college,Yes
318,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,I don't know,Neutral,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Neutral,performance,I don't know,Neutral,performance,Performances ,36-45,Woman,High school graduate,No
104,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Likely,statistics,Cookies needed to measure and improve site features.,Neutral,functional,Targeted,36-45,Man,Some college,No
151,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Neutral,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Neutral,traffic,Cookies needed to measure and improve site features.,Very unlikely,performance,popular,36-45,Man,4 year degree,Yes
87,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Neutral,traffic,Cookies needed to measure and improve site features.,Neutral,necessary,strictly necessary,18-25,Woman,Some college,No
123,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Neutral,statistics,Cookies needed to measure and improve site features.,Neutral,necessary,Required Cookies,18-25,Man,High school graduate,No
77,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,advertising,Cookies needed to collect user location.,Neutral,preference,Cookies needed to help personalize site services.,Neutral,performance,Cookies needed to make the site faster.,Neutral,functional,Performance cookie,18-25,Woman,4 year degree,No
74,I don’t know,strictly necessary,I don't know,Likely,advertising,I don't know,Neutral,preference,,Neutral,traffic,I don't know,Neutral,functional,Trust ,26-35,Woman,Professional degree,No
109,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,I don't know,Very unlikely,advertising,Cookies used to personalize user ad experience.,Very unlikely,functional,I don't know,Very unlikely,performance,I don't know,Very unlikely,functional,Functional cookies,36-45,Woman,4 year degree,No
216,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed for the site to run.,Very likely,performance,Cookies needed to measure and improve site features.,Likely,performance,Performance,46-55,Woman,High school graduate,No
117,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Neutral,statistics,Cookies needed to measure and improve site features.,Neutral,necessary,essential,36-45,Woman,4 year degree,No
305,A token stored in a user’s browser that keeps track of their network traffic.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Neutral,statistics,I don't know,Neutral,advertising,direct,26-35,Man,Professional degree,No
273,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Unlikely,performance,Cookies needed to make the site faster.,Unlikely,necessary,necessary,26-35,Woman,Some college,No
101,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to personalize user experience.,Neutral,targeting,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Neutral,advertising,Advertising ,18-25,Woman,Some college,No
136,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Likely,statistics,Cookies needed to measure and improve site features.,Neutral,functional,targeting cookies,26-35,Man,Some college,No
129,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Neutral,performance,I don't know,Neutral,performance,Preference,26-35,Man,Some college,Yes
84,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Neutral,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Neutral,traffic,I don't know,Neutral,necessary,Necessary,18-25,Man,Some college,No
160,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Neutral,performance,Cookies needed to measure and improve site features.,Neutral,functional,preference,56-65,Man,Some college,Yes
95,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Likely,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,I don't know,Neutral,performance,I don't know,Neutral,advertising,ad,46-55,Man,High school graduate,No
113,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Neutral,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Unlikely,performance,Cookies needed to measure and improve site features.,Unlikely,necessary,Functional,36-45,Man,Professional degree,No
125,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Neutral,statistics,Cookies that are given higher priority over other site cookies.,Neutral,necessary,personalized,18-25,Man,Some college,Yes
145,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Likely,preference,Cookies needed to help personalize site services.,Likely,traffic,Cookies needed to make the site faster.,Neutral,advertising,Personalization ,26-35,Woman,4 year degree,No
83,I don’t know,strictly necessary,I don't know,Neutral,advertising,I don't know,Neutral,functional,I don't know,Neutral,performance,I don't know,Neutral,advertising,Ad cookie,18-25,Man,Some college,No
93,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,I don't know,Unlikely,targeting,I don't know,Unlikely,preference,Cookies needed to help personalize site services.,Unlikely,traffic,I don't know,Unlikely,advertising,target,18-25,Woman,2 year degree,No
110,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies needed to make ads appear.,Neutral,functional,I don't know,Neutral,traffic,Cookies needed to make the site faster.,Likely,performance,traffic,26-35,Man,Some college,No
113,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,targeting,I don't know,Unlikely,preference,Cookies needed to help personalize site services.,Likely,statistics,I don't know,Neutral,necessary,preference ,18-25,Man,Some college,No
137,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to store the user's browsing history.,Neutral,advertising,Cookies needed to make ads appear.,Unlikely,preference,Cookies needed to help personalize site services.,Neutral,traffic,Cookies needed to measure and improve site features.,Neutral,advertising,Advertising,66+,Woman,2 year degree,No
268,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Likely,advertising,Cookies used to personalize user ad experience.,Likely,functional,Cookies needed to help personalize site services.,Very likely,traffic,Cookies needed to measure and improve site features.,Likely,performance,statistical,26-35,Woman,2 year degree,Yes
124,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Neutral,advertising,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed to help personalize site services.,Neutral,traffic,I don't know,Neutral,advertising,Advertising,26-35,Man,4 year degree,Yes
91,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Likely,functional,Cookies needed for the site to run.,Likely,statistics,Cookies needed to measure and improve site features.,Likely,performance,necessary,36-45,Man,Some college,No
214,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,I don't know,Likely,advertising,Cookies used to personalize user ad experience.,Very likely,preference,Cookies needed to help personalize site services.,Likely,statistics,I don't know,Likely,performance,tracking ,26-35,Man,High school graduate,No
84,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to personalize user experience.,Likely,advertising,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed for the site to run.,Likely,traffic,Cookies needed to measure and improve site features.,Likely,advertising,Data,26-35,Man,High school graduate,Yes
